a52dec 0.8.0-3.1
python-pyxdg 0.28-7
python-rdflib 7.6.0-1
python-six 1.17.0-3
python-tqdm 4.70.0-1
python-wheel 0.47.0-1
qoi r350.4461cc3-1
qrencode 4.1.1-4.10
qt5-base 5.15.19+kde+r96-1.1
qt5-declarative 5.15.19+kde+r23-1.1
qt5-svg 5.15.19+kde+r5-1.1
qt5-translations 5.15.19-1
qt5-x11extras 5.15.19-1.1
qt6-base 6.11.1-1.1
qt6-declarative 6.11.1-3.1
qt6-multimedia-ffmpeg 6.11.1-1.1
qt6-svg 6.11.1-1.1
qt6-translations 6.11.1-1
raptor 2.0.16-9.1
rate-mirrors 0.30.0-1
rav1e 0.8.1-3.1
re2 2:2025.11.05-5.1
readline 8.3.003-1.1
resvg 0.47.0-4.1
rtkit 0.14-1.1
rtmpdump 1:2.6-2.1
rubberband 4.0.0-2.1
sbc 2.2-1.1
sdbus-cpp 2.3.1-1.1
sdl2-compat 2.32.70-1.1
sdl3 3.4.12-1.1
seatd 0.9.3-1.1
sed 4.10-1.1
serd 0.32.10-1.1
shaderc 2026.3-1.1
shadow 4.20.0.arch1-1.1
shared-mime-info 2.5.1-2.1
simdjson 1:4.6.5-1.1
slang 2.3.3-4.1
snappy 1.2.2-3.1
sndio 1.10.0-1.4
sord 0.16.22-1.1
soundtouch 2.4.1-1.1
source-highlight 3.1.9-18.1
spandsp 0.0.6-7
spdlog 1.17.0-2.1
speex 1.2.1-2.1
speexdsp 1.2.1-2.1
spirv-tools 1:1.4.357.0-1.1
sqlite 3.53.4-1
sratom 0.6.22-1.1
srt 1.5.6-1.1
startup-notification 0.12-9.1
sudo 1.9.17.p2-6.1
suitesparse 7.12.3-1.1
svt-av1 4.1.0-2
svt-hevc 1.5.1-4.1
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1.1
tar 1.35-2.1
tesseract 5.5.3-1.1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
texinfo 7.3-1.1
tinysparql 3.11.1-1
tomlplusplus 3.4.0-2.1
tpm2-tss 4.1.3-1.1
tree-sitter 0.26.9-1.1
tree-sitter-c 0.24.1-2.1
tree-sitter-lua 0.5.0-3.1
tree-sitter-markdown 0.5.3-2.1
tree-sitter-query 0.8.0-2.1
tree-sitter-vim 0.8.1-3.1
tree-sitter-vimdoc 4.1.0-2.1
tslib 1.24-1.1
ttf-carlito 20230509-2
ttf-cascadia-code-nerd 3.4.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
twolame 0.4.0-4.1
tzdata 2026c-1.1
uchardet 0.0.8-4.1
unibilium 2.1.2-1.1
util-linux 2.42.2-1.1
util-linux-libs 2.42.2-1.1
v4l-utils 1.32.0-2.1
vapoursynth 77-2.1
vid.stab 1.1.1-3.1
vmaf 3.2.0-1.1
vulkan-icd-loader 1.4.357.0-1.1
vulkan-mesa-implicit-layers 3:26.1.6-1
wavpack 5.9.0-1.1
wayland 1.25.0-1.1
wayland-protocols 1.49-1
webrtc-audio-processing-1 1.3-5.1
which 2.25-1.1
wildmidi 0.5.0-1.1
wireless-regdb 2026.05.30-1
x264 3:0.165.r3222.b35605a-2.1
x265 4.2-2.1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2.2
xcb-util-cursor 0.1.6-1.1
xcb-util-errors 1.0.1-2.1
xcb-util-image 0.4.1-3.1
xcb-util-keysyms 0.4.1-5.1
xcb-util-renderutil 0.3.10-2.1
xcb-util-wm 0.4.2-2.1
xdg-desktop-portal 1.22.1-2.1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1.2
xfconf 4.20.0-2.1
xkeyboard-config 2.48-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1.1
xorg-server-common 21.1.24-1.1
xorg-setxkbmap 1.3.5-1.1
xorg-xauth 1.1.5-1.1
xorg-xkbcomp 1.5.0-1.1
xorg-xprop 1.2.8-1.1
xorg-xwayland 24.1.13-1.1
xorgproto 2025.1-1
xvidcore 1.3.7-4.1
xxhash 0.8.3-1
xz 5.8.3-1
yyjson 0.12.0-1.1
zbar 0.23.93-7.1
zeromq 4.3.5-3.1
zimg 3.0.6-2.1
zint 2.16.0-2.1
zix 0.8.2-1.1
zlib-ng 2.3.3-2
zlib-ng-compat 2.3.3-2
zstd 1.5.7-2
zvbi 0.2.44-1.1
zxing-cpp 3.1.1-1.1
